ホエルコ,130,70,35,70,35,60
ホエルオー,170,90,45,90,45,60
カチコール,55,69,85,32,35,28
クレベース,95,117,184,44,46,28
ダダリン,70,131,100,86,90,40
ラプラス,130,85,80,85,95,60
ルナトーン,90,55,65,95,85,70
ソルロック,90,95,85,55,65,70
マネネ,20,25,45,70,90,60
バリヤード,40,45,65,100,120,90
バリコオル,80,85,75,110,100,70
イシヘンジン,100,125,135,20,20,70
コオリッポ,75,80,110,65,90,50
ジュラルドン,70,95,115,120,50,85
ロトム,50,50,77,95,77,91
メタモン,48,48,48,48,48,48
パッチラゴン,90,100,90,80,70,75
パッチルドン,90,100,90,90,80,55
ウオノラゴン,90,90,100,70,80,75
ウオチルドン,90,90,100,80,90,55
ヒトカゲ,39,52,43,60,50,65
リザード,58,64,58,80,65,80
リザードン,78,84,78,109,85,100
タイプ：ヌル,95,95,95,95,95,59
シルヴァディ,95,95,95,95,95,95
ヨーギラス,50,64,50,45,50,41
サナギラス,70,84,70,65,70,51
バンギラス,100,134,110,95,100,61
モノズ,52,65,50,45,50,38
ジヘッド,72,85,70,65,70,58
サザンドラ,92,105,90,125,90,98
ヌメラ,45,50,35,55,75,40
ヌメイル,68,75,53,83,113,60
ヌメルゴン,90,100,70,110,150,80
ジャラコ,45,55,65,45,45,45
ジャランゴ,55,75,90,65,70,65
ジャラランガ,75,110,125,100,105,85
ドラメシヤ,28,60,30,40,30,82
ドロンチ,68,80,50,60,50,102
ドラパルト,88,120,75,100,75,142
ザシアン,92,130,115,80,115,138
ザマゼンタ,92,130,115,80,115,138
